p[0.030, -0.575, 0.01, 2.1, 2.25, 0]
p[0.028, -0.574, 0.01, 2.1, 2.25, 0]
p[0.026, -0.571, 0.01, 2.1, 2.25, 0]
p[0.024, -0.569, 0.01, 2.1, 2.25, 0]
p[0.022, -0.566, 0.01, 2.1, 2.25, 0]
p[0.021, -0.563, 0.01, 2.1, 2.25, 0]
p[0.020, -0.561, 0.01, 2.1, 2.25, 0]
p[0.018, -0.558, 0.01, 2.1, 2.25, 0]
p[0.018, -0.556, 0.01, 2.1, 2.25, 0]
p[0.017, -0.553, 0.01, 2.1, 2.25, 0]
p[0.016, -0.550, 0.01, 2.1, 2.25, 0]
p[0.015, -0.546, 0.01, 2.1, 2.25, 0]
p[0.014, -0.543, 0.01, 2.1, 2.25, 0]
p[0.014, -0.541, 0.01, 2.1, 2.25, 0]
p[0.014, -0.537, 0.01, 2.1, 2.25, 0]
p[0.014, -0.534, 0.01, 2.1, 2.25, 0]
p[0.014, -0.532, 0.01, 2.1, 2.25, 0]
p[0.014, -0.530, 0.01, 2.1, 2.25, 0]
p[0.014, -0.525, 0.01, 2.1, 2.25, 0]
p[0.015, -0.522, 0.01, 2.1, 2.25, 0]
p[0.015, -0.519, 0.01, 2.1, 2.25, 0]
p[0.016, -0.516, 0.01, 2.1, 2.25, 0]
p[0.017, -0.514, 0.01, 2.1, 2.25, 0]
p[0.018, -0.511, 0.01, 2.1, 2.25, 0]
p[0.019, -0.508, 0.01, 2.1, 2.25, 0]
p[0.018, -0.501, 0.01, 2.1, 2.25, 0]
p[0.021, -0.499, 0.01, 2.1, 2.25, 0]
p[0.023, -0.498, 0.01, 2.1, 2.25, 0]
p[0.026, -0.495, 0.01, 2.1, 2.25, 0]
p[0.027, -0.494, 0.01, 2.1, 2.25, 0]
p[0.029, -0.493, 0.01, 2.1, 2.25, 0]
p[0.030, -0.490, 0.01, 2.1, 2.25, 0]
p[0.032, -0.488, 0.01, 2.1, 2.25, 0]
p[0.034, -0.486, 0.01, 2.1, 2.25, 0]
p[0.035, -0.482, 0.01, 2.1, 2.25, 0]
p[0.036, -0.479, 0.01, 2.1, 2.25, 0]
p[0.037, -0.477, 0.01, 2.1, 2.25, 0]
p[0.038, -0.474, 0.01, 2.1, 2.25, 0]
p[0.038, -0.471, 0.01, 2.1, 2.25, 0]
p[0.038, -0.464, 0.01, 2.1, 2.25, 0]
p[0.038, -0.462, 0.01, 2.1, 2.25, 0]
p[0.037, -0.458, 0.01, 2.1, 2.25, 0]
p[0.035, -0.454, 0.01, 2.1, 2.25, 0]
p[0.034, -0.452, 0.01, 2.1, 2.25, 0]
p[0.033, -0.450, 0.01, 2.1, 2.25, 0]
p[0.030, -0.446, 0.01, 2.1, 2.25, 0]
p[0.029, -0.444, 0.01, 2.1, 2.25, 0]
p[0.026, -0.442, 0.01, 2.1, 2.25, 0]
p[0.024, -0.439, 0.01, 2.1, 2.25, 0]
p[0.022, -0.438, 0.01, 2.1, 2.25, 0]
p[0.019, -0.436, 0.01, 2.1, 2.25, 0]
p[0.017, -0.435, 0.01, 2.1, 2.25, 0]
p[0.014, -0.434, 0.01, 2.1, 2.25, 0]
p[0.011, -0.433, 0.01, 2.1, 2.25, 0]
p[0.007, -0.432, 0.01, 2.1, 2.25, 0]
p[0.005, -0.432, 0.01, 2.1, 2.25, 0]
p[0.002, -0.432, 0.01, 2.1, 2.25, 0]
p[0.000, -0.432, 0.01, 2.1, 2.25, 0]
p[-0.002, -0.432, 0.01, 2.1, 2.25, 0]
p[-0.005, -0.432, 0.01, 2.1, 2.25, 0]
p[-0.008, -0.433, 0.01, 2.1, 2.25, 0]
p[-0.012, -0.434, 0.01, 2.1, 2.25, 0]
p[-0.014, -0.435, 0.01, 2.1, 2.25, 0]
p[-0.017, -0.437, 0.01, 2.1, 2.25, 0]
p[-0.020, -0.438, 0.01, 2.1, 2.25, 0]
p[-0.022, -0.440, 0.01, 2.1, 2.25, 0]
p[-0.024, -0.442, 0.01, 2.1, 2.25, 0]
p[-0.026, -0.445, 0.01, 2.1, 2.25, 0]
p[-0.028, -0.447, 0.01, 2.1, 2.25, 0]
p[-0.030, -0.450, 0.01, 2.1, 2.25, 0]
p[-0.031, -0.452, 0.01, 2.1, 2.25, 0]
p[-0.032, -0.454, 0.01, 2.1, 2.25, 0]
p[-0.033, -0.457, 0.01, 2.1, 2.25, 0]
p[-0.034, -0.459, 0.01, 2.1, 2.25, 0]
p[-0.034, -0.462, 0.01, 2.1, 2.25, 0]
p[-0.034, -0.473, 0.01, 2.1, 2.25, 0]
p[-0.034, -0.475, 0.01, 2.1, 2.25, 0]
p[-0.034, -0.478, 0.01, 2.1, 2.25, 0]
p[-0.032, -0.482, 0.01, 2.1, 2.25, 0]
p[-0.031, -0.485, 0.01, 2.1, 2.25, 0]
p[-0.029, -0.488, 0.01, 2.1, 2.25, 0]
p[-0.027, -0.490, 0.01, 2.1, 2.25, 0]
p[-0.026, -0.492, 0.01, 2.1, 2.25, 0]
p[-0.024, -0.494, 0.01, 2.1, 2.25, 0]
p[-0.022, -0.496, 0.01, 2.1, 2.25, 0]
p[-0.020, -0.498, 0.01, 2.1, 2.25, 0]
p[-0.018, -0.499, 0.01, 2.1, 2.25, 0]
p[-0.015, -0.501, 0.01, 2.1, 2.25, 0]
p[-0.013, -0.502, 0.01, 2.1, 2.25, 0]
p[-0.010, -0.503, 0.01, 2.1, 2.25, 0]
p[-0.006, -0.504, 0.01, 2.1, 2.25, 0]
p[-0.004, -0.504, 0.01, 2.1, 2.25, 0]
p[0.000, -0.505, 0.01, 2.1, 2.25, 0]
p[0.002, -0.505, 0.01, 2.1, 2.25, 0]
p[0.006, -0.504, 0.01, 2.1, 2.25, 0]
p[0.009, -0.504, 0.01, 2.1, 2.25, 0]
p[0.012, -0.503, 0.01, 2.1, 2.25, 0]
p[0.039, -0.483, 0.01, 2.1, 2.25, 0]
p[0.042, -0.482, 0.01, 2.1, 2.25, 0]
p[0.044, -0.480, 0.01, 2.1, 2.25, 0]
p[0.046, -0.478, 0.01, 2.1, 2.25, 0]
p[0.051, -0.476, 0.01, 2.1, 2.25, 0]
p[0.054, -0.475, 0.01, 2.1, 2.25, 0]
p[0.056, -0.474, 0.01, 2.1, 2.25, 0]
p[0.058, -0.474, 0.01, 2.1, 2.25, 0]
p[0.061, -0.473, 0.01, 2.1, 2.25, 0]
p[0.064, -0.472, 0.01, 2.1, 2.25, 0]
p[0.067, -0.471, 0.01, 2.1, 2.25, 0]
p[0.070, -0.471, 0.01, 2.1, 2.25, 0]
p[0.074, -0.470, 0.01, 2.1, 2.25, 0]
p[0.077, -0.470, 0.01, 2.1, 2.25, 0]
p[0.079, -0.470, 0.01, 2.1, 2.25, 0]
p[0.084, -0.471, 0.01, 2.1, 2.25, 0]
p[0.086, -0.471, 0.01, 2.1, 2.25, 0]
p[0.090, -0.472, 0.01, 2.1, 2.25, 0]
p[0.093, -0.473, 0.01, 2.1, 2.25, 0]
p[0.096, -0.474, 0.01, 2.1, 2.25, 0]
p[0.099, -0.474, 0.01, 2.1, 2.25, 0]
p[0.102, -0.476, 0.01, 2.1, 2.25, 0]
p[0.105, -0.477, 0.01, 2.1, 2.25, 0]
p[0.094, -0.505, 0.01, 2.1, 2.25, 0]
p[0.091, -0.505, 0.01, 2.1, 2.25, 0]
p[0.089, -0.506, 0.01, 2.1, 2.25, 0]
p[0.087, -0.507, 0.01, 2.1, 2.25, 0]
p[0.086, -0.510, 0.01, 2.1, 2.25, 0]
p[0.085, -0.512, 0.01, 2.1, 2.25, 0]
p[0.084, -0.514, 0.01, 2.1, 2.25, 0]
p[0.083, -0.519, 0.01, 2.1, 2.25, 0]
p[0.084, -0.524, 0.01, 2.1, 2.25, 0]
p[0.085, -0.527, 0.01, 2.1, 2.25, 0]
p[0.086, -0.530, 0.01, 2.1, 2.25, 0]
p[0.087, -0.532, 0.01, 2.1, 2.25, 0]
p[0.090, -0.534, 0.01, 2.1, 2.25, 0]
p[0.093, -0.535, 0.01, 2.1, 2.25, 0]
p[0.096, -0.534, 0.01, 2.1, 2.25, 0]
p[0.098, -0.532, 0.01, 2.1, 2.25, 0]
p[0.100, -0.530, 0.01, 2.1, 2.25, 0]
p[0.101, -0.527, 0.01, 2.1, 2.25, 0]
p[0.102, -0.524, 0.01, 2.1, 2.25, 0]
p[0.102, -0.515, 0.01, 2.1, 2.25, 0]
p[0.101, -0.513, 0.01, 2.1, 2.25, 0]
p[0.100, -0.510, 0.01, 2.1, 2.25, 0]
p[0.098, -0.508, 0.01, 2.1, 2.25, 0]
p[0.097, -0.506, 0.01, 2.1, 2.25, 0]
p[0.066, -0.515, 0.01, 2.1, 2.25, 0]
p[0.066, -0.514, 0.01, 2.1, 2.25, 0]
p[0.065, -0.511, 0.01, 2.1, 2.25, 0]
p[0.063, -0.509, 0.01, 2.1, 2.25, 0]
p[0.062, -0.507, 0.01, 2.1, 2.25, 0]
p[0.059, -0.506, 0.01, 2.1, 2.25, 0]
p[0.057, -0.506, 0.01, 2.1, 2.25, 0]
p[0.054, -0.506, 0.01, 2.1, 2.25, 0]
p[0.053, -0.507, 0.01, 2.1, 2.25, 0]
p[0.051, -0.510, 0.01, 2.1, 2.25, 0]
p[0.050, -0.512, 0.01, 2.1, 2.25, 0]
p[0.049, -0.514, 0.01, 2.1, 2.25, 0]
p[0.049, -0.517, 0.01, 2.1, 2.25, 0]
p[0.049, -0.524, 0.01, 2.1, 2.25, 0]
p[0.049, -0.526, 0.01, 2.1, 2.25, 0]
p[0.050, -0.530, 0.01, 2.1, 2.25, 0]
p[0.051, -0.532, 0.01, 2.1, 2.25, 0]
p[0.054, -0.534, 0.01, 2.1, 2.25, 0]
p[0.057, -0.536, 0.01, 2.1, 2.25, 0]
p[0.060, -0.535, 0.01, 2.1, 2.25, 0]
p[0.062, -0.534, 0.01, 2.1, 2.25, 0]
p[0.064, -0.531, 0.01, 2.1, 2.25, 0]
p[0.066, -0.529, 0.01, 2.1, 2.25, 0]
p[0.066, -0.526, 0.01, 2.1, 2.25, 0]
p[0.073, -0.546, 0.01, 2.1, 2.25, 0]
p[0.075, -0.546, 0.01, 2.1, 2.25, 0]
p[0.078, -0.546, 0.01, 2.1, 2.25, 0]
p[0.081, -0.546, 0.01, 2.1, 2.25, 0]
p[0.083, -0.547, 0.01, 2.1, 2.25, 0]
p[0.086, -0.548, 0.01, 2.1, 2.25, 0]
p[0.088, -0.550, 0.01, 2.1, 2.25, 0]
p[0.087, -0.553, 0.01, 2.1, 2.25, 0]
p[0.085, -0.554, 0.01, 2.1, 2.25, 0]
p[0.082, -0.555, 0.01, 2.1, 2.25, 0]
p[0.078, -0.556, 0.01, 2.1, 2.25, 0]
p[0.076, -0.556, 0.01, 2.1, 2.25, 0]
p[0.074, -0.556, 0.01, 2.1, 2.25, 0]
p[0.071, -0.556, 0.01, 2.1, 2.25, 0]
p[0.068, -0.555, 0.01, 2.1, 2.25, 0]
p[0.065, -0.554, 0.01, 2.1, 2.25, 0]
p[0.063, -0.551, 0.01, 2.1, 2.25, 0]
p[0.064, -0.549, 0.01, 2.1, 2.25, 0]
p[0.066, -0.547, 0.01, 2.1, 2.25, 0]
p[0.070, -0.546, 0.01, 2.1, 2.25, 0]
p[0.070, -0.563, 0.01, 2.1, 2.25, 0]
p[0.067, -0.563, 0.01, 2.1, 2.25, 0]
p[0.065, -0.563, 0.01, 2.1, 2.25, 0]
p[0.062, -0.563, 0.01, 2.1, 2.25, 0]
p[0.058, -0.562, 0.01, 2.1, 2.25, 0]
p[0.056, -0.562, 0.01, 2.1, 2.25, 0]
p[0.053, -0.562, 0.01, 2.1, 2.25, 0]
p[0.050, -0.562, 0.01, 2.1, 2.25, 0]
p[0.047, -0.561, 0.01, 2.1, 2.25, 0]
p[0.048, -0.562, 0.01, 2.1, 2.25, 0]
p[0.050, -0.564, 0.01, 2.1, 2.25, 0]
p[0.053, -0.566, 0.01, 2.1, 2.25, 0]
p[0.055, -0.568, 0.01, 2.1, 2.25, 0]
p[0.058, -0.570, 0.01, 2.1, 2.25, 0]
p[0.060, -0.571, 0.01, 2.1, 2.25, 0]
p[0.063, -0.574, 0.01, 2.1, 2.25, 0]
p[0.066, -0.575, 0.01, 2.1, 2.25, 0]
p[0.070, -0.577, 0.01, 2.1, 2.25, 0]
p[0.073, -0.578, 0.01, 2.1, 2.25, 0]
p[0.075, -0.578, 0.01, 2.1, 2.25, 0]
p[0.078, -0.578, 0.01, 2.1, 2.25, 0]
p[0.081, -0.577, 0.01, 2.1, 2.25, 0]
p[0.083, -0.575, 0.01, 2.1, 2.25, 0]
p[0.086, -0.574, 0.01, 2.1, 2.25, 0]
p[0.088, -0.573, 0.01, 2.1, 2.25, 0]
p[0.090, -0.571, 0.01, 2.1, 2.25, 0]
