p[0.130, -0.428, 0.2, 2.1, 2.25, 0]
p[0.126, -0.430, 0.2, 2.1, 2.25, 0]
p[0.122, -0.433, 0.2, 2.1, 2.25, 0]
p[0.118, -0.435, 0.2, 2.1, 2.25, 0]
p[0.114, -0.439, 0.2, 2.1, 2.25, 0]
p[0.111, -0.443, 0.2, 2.1, 2.25, 0]
p[0.110, -0.447, 0.2, 2.1, 2.25, 0]
p[0.108, -0.451, 0.2, 2.1, 2.25, 0]
p[0.106, -0.456, 0.2, 2.1, 2.25, 0]
p[0.106, -0.467, 0.2, 2.1, 2.25, 0]
p[0.107, -0.472, 0.2, 2.1, 2.25, 0]
p[0.109, -0.478, 0.2, 2.1, 2.25, 0]
p[0.112, -0.482, 0.2, 2.1, 2.25, 0]
p[0.114, -0.486, 0.2, 2.1, 2.25, 0]
p[0.118, -0.490, 0.2, 2.1, 2.25, 0]
p[0.121, -0.492, 0.2, 2.1, 2.25, 0]
p[0.125, -0.494, 0.2, 2.1, 2.25, 0]
p[0.130, -0.497, 0.2, 2.1, 2.25, 0]
p[0.130, -0.498, 0.2, 2.1, 2.25, 0]
p[0.132, -0.502, 0.2, 2.1, 2.25, 0]
p[0.134, -0.506, 0.2, 2.1, 2.25, 0]
p[0.136, -0.511, 0.2, 2.1, 2.25, 0]
p[0.138, -0.515, 0.2, 2.1, 2.25, 0]
p[0.138, -0.520, 0.2, 2.1, 2.25, 0]
p[0.139, -0.525, 0.2, 2.1, 2.25, 0]
p[0.140, -0.530, 0.2, 2.1, 2.25, 0]
p[0.140, -0.534, 0.2, 2.1, 2.25, 0]
p[0.140, -0.538, 0.2, 2.1, 2.25, 0]
p[0.139, -0.543, 0.2, 2.1, 2.25, 0]
p[0.138, -0.548, 0.2, 2.1, 2.25, 0]
p[0.138, -0.552, 0.2, 2.1, 2.25, 0]
p[0.135, -0.558, 0.2, 2.1, 2.25, 0]
p[0.132, -0.565, 0.2, 2.1, 2.25, 0]
p[0.129, -0.570, 0.2, 2.1, 2.25, 0]
p[0.126, -0.574, 0.2, 2.1, 2.25, 0]
p[0.122, -0.578, 0.2, 2.1, 2.25, 0]
p[0.118, -0.582, 0.2, 2.1, 2.25, 0]
p[0.114, -0.585, 0.2, 2.1, 2.25, 0]
p[0.110, -0.588, 0.2, 2.1, 2.25, 0]
p[0.105, -0.590, 0.2, 2.1, 2.25, 0]
p[0.100, -0.593, 0.2, 2.1, 2.25, 0]
p[0.094, -0.594, 0.2, 2.1, 2.25, 0]
p[0.090, -0.595, 0.2, 2.1, 2.25, 0]
p[0.084, -0.597, 0.2, 2.1, 2.25, 0]
p[0.080, -0.597, 0.2, 2.1, 2.25, 0]
p[0.076, -0.597, 0.2, 2.1, 2.25, 0]
p[0.072, -0.597, 0.2, 2.1, 2.25, 0]
p[0.066, -0.596, 0.2, 2.1, 2.25, 0]
p[0.062, -0.595, 0.2, 2.1, 2.25, 0]
p[0.056, -0.594, 0.2, 2.1, 2.25, 0]
p[0.052, -0.592, 0.2, 2.1, 2.25, 0]
p[0.047, -0.590, 0.2, 2.1, 2.25, 0]
p[0.043, -0.587, 0.2, 2.1, 2.25, 0]
p[0.039, -0.585, 0.2, 2.1, 2.25, 0]
p[0.035, -0.582, 0.2, 2.1, 2.25, 0]
p[0.032, -0.578, 0.2, 2.1, 2.25, 0]
p[0.029, -0.575, 0.2, 2.1, 2.25, 0]
p[0.026, -0.571, 0.2, 2.1, 2.25, 0]
p[0.023, -0.567, 0.2, 2.1, 2.25, 0]
p[0.021, -0.562, 0.2, 2.1, 2.25, 0]
p[0.018, -0.558, 0.2, 2.1, 2.25, 0]
p[0.017, -0.554, 0.2, 2.1, 2.25, 0]
p[0.015, -0.548, 0.2, 2.1, 2.25, 0]
p[0.014, -0.543, 0.2, 2.1, 2.25, 0]
p[0.014, -0.538, 0.2, 2.1, 2.25, 0]
p[0.014, -0.534, 0.2, 2.1, 2.25, 0]
p[0.014, -0.530, 0.2, 2.1, 2.25, 0]
p[0.014, -0.523, 0.2, 2.1, 2.25, 0]
p[0.016, -0.518, 0.2, 2.1, 2.25, 0]
p[0.017, -0.514, 0.2, 2.1, 2.25, 0]
p[0.018, -0.510, 0.2, 2.1, 2.25, 0]
p[0.018, -0.501, 0.2, 2.1, 2.25, 0]
p[0.023, -0.498, 0.2, 2.1, 2.25, 0]
p[0.026, -0.494, 0.2, 2.1, 2.25, 0]
p[0.029, -0.492, 0.2, 2.1, 2.25, 0]
p[0.032, -0.488, 0.2, 2.1, 2.25, 0]
p[0.035, -0.482, 0.2, 2.1, 2.25, 0]
p[0.037, -0.478, 0.2, 2.1, 2.25, 0]
p[0.038, -0.474, 0.2, 2.1, 2.25, 0]
p[0.038, -0.465, 0.2, 2.1, 2.25, 0]
p[0.037, -0.460, 0.2, 2.1, 2.25, 0]
p[0.035, -0.454, 0.2, 2.1, 2.25, 0]
p[0.034, -0.450, 0.2, 2.1, 2.25, 0]
p[0.030, -0.446, 0.2, 2.1, 2.25, 0]
p[0.026, -0.442, 0.2, 2.1, 2.25, 0]
p[0.022, -0.438, 0.2, 2.1, 2.25, 0]
p[0.018, -0.436, 0.2, 2.1, 2.25, 0]
p[0.014, -0.434, 0.2, 2.1, 2.25, 0]
p[0.010, -0.433, 0.2, 2.1, 2.25, 0]
p[0.004, -0.432, 0.2, 2.1, 2.25, 0]
p[0.000, -0.432, 0.2, 2.1, 2.25, 0]
p[-0.004, -0.432, 0.2, 2.1, 2.25, 0]
p[-0.010, -0.434, 0.2, 2.1, 2.25, 0]
p[-0.014, -0.435, 0.2, 2.1, 2.25, 0]
p[-0.019, -0.438, 0.2, 2.1, 2.25, 0]
p[-0.022, -0.441, 0.2, 2.1, 2.25, 0]
p[-0.026, -0.445, 0.2, 2.1, 2.25, 0]
